Country,Clicks,Impressions,CTR,Position
Brazil,9,778,1.16%,13.29
Portugal,0,10,0%,20.9
United States,0,9,0%,8.33
Angola,0,3,0%,37.67
Italy,0,2,0%,8.5
China,0,2,0%,10.5
France,0,2,0%,10.5
Bolivia,0,1,0%,10
Saudi Arabia,0,1,0%,21
Bangladesh,0,1,0%,61
