Date,Clicks,Impressions,CTR,Position
2026-04-01,0,4,0%,11.2
2026-04-02,2,4,50%,3.2
2026-04-03,0,1,0%,24
2026-04-04,0,0,,
2026-04-05,0,0,,
2026-04-06,1,3,33.33%,3.7
2026-04-07,0,3,0%,17.7
2026-04-08,0,2,0%,43
2026-04-09,0,0,,
2026-04-10,0,1,0%,61
2026-04-11,0,0,,
2026-04-12,0,2,0%,44
2026-04-13,0,7,0%,2
2026-04-14,0,2,0%,10.5
2026-04-15,0,0,,
2026-04-16,0,0,,
2026-04-17,0,1,0%,6
2026-04-18,0,0,,
2026-04-19,0,0,,
2026-04-20,0,3,0%,11.3
2026-04-21,0,1,0%,2
2026-04-22,2,20,10%,2.3
